"latitude;";longitude
"41.1480787;";-8.6158168
"41.1480751;";-8.61549855
"41.1480617069557;";-8.60838630529316
"41.1480499619543;";-8.61554755540015
"41.1480456032242;";-8.61553564668504
"41.1480307253462;";-8.61545945518521
"41.1480178833333;";-8.61543941666666
"41.148007;";-8.6082688
"41.1480039451656;";-8.60833860934582
"41.1480023945135;";-8.60840063542929
"41.1479700439247;";-8.61598193897691
"41.1479693333333;";-8.6159355
"41.1479641666666;";-8.60844716666666
"41.1479621;";-8.6242594
"41.1479506703737;";-8.6083971609718
"41.1479377132602;";-8.61477707313908
"41.1479077495433;";-8.61806147059528
"41.1479023652134;";-8.61482023349
"41.1478997161997;";-8.61814116128591
"41.1478893;";-8.6243571
"41.1478871;";-8.6148239
"41.1478840670257;";-8.6148681404876
"41.1478655496609;";-8.62435531214795
"41.1478584;";-8.6204977
"41.1478468263906;";-8.6243486311367
"41.147844;";-8.6243417
"41.1478057131554;";-8.62437511795072
"41.1478014372689;";-8.62438543807382
"41.14780045;";-8.62438106666666
"41.1477941529606;";-8.61477535283731
"41.1477042909722;";-8.67164051736466
"41.1476201666666;";-8.67164316666666
"41.1475703912239;";-8.6325287818989
"41.1475423666721;";-8.66750748394888
"41.1475421564249;";-8.66754805330199
"41.147532992362;";-8.66751885015553
"41.1475160478841;";-8.66751239310863
"41.1474852;";-8.6674604
"41.1473257;";-8.6607066
"41.1472163;";-8.6568498
"41.1472012;";-8.603459
"41.1469721038677;";-8.60635624412525
"41.1469285363821;";-8.60636621272973
"41.1468998333333;";-8.60634566666666
"41.1468871;";-8.6064263
"41.1468666880688;";-8.60632184474325
"41.146813;";-8.60647983333333
"41.1465099;";-8.6043235
"41.146401116891;";-8.61536501968545
"41.1463934;";-8.6154221
"41.1463535;";-8.61543566666666
"41.1463527102406;";-8.62036974170116
"41.1463419;";-8.6202835
"41.1463328333333;";-8.61546983333333
"41.1463328333333;";-8.61546983333333
"41.1463200397863;";-8.61516199944071
"41.1463147;";-8.6154335
"41.1462955691035;";-8.61536943193425
"41.1462798333333;";-8.61545816666666
"41.1462738;";-8.6043143
"41.1462348241352;";-8.60728624966893
"41.1462143465205;";-8.60729819303962
"41.1462140739536;";-8.60730595061594
"41.1462059762645;";-8.60731867411597
"41.146182;";-8.6074054
"41.1461791666666;";-8.60737233333333
"41.1461778;";-8.6153292
"41.1461592222337;";-8.60734045626565
"41.1461561303493;";-8.60198637175703
"41.1461520474787;";-8.60425737687256
